EXPOCODE,Ship_Name,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag
,,,,,,,decimal degrees,decimal degres,m,deg_C,,,,umol/kg,,umol/kg,
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 090.0,29.1663,-120.4286,10,-999,9,33.542,2,-999,9,2253.3,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,18.14,2,-999,9,-999,9,2272.4,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,-999,9,-999,9,-999,9,2272.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,-999,9,-999,9,-999,9,2274.1,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,-999,9,-999,9,-999,9,2269.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,-999,9,-999,9,-999,9,2271.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,18.14,2,33.816,2,1993.9,2,2264.9,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,-999,9,-999,9,-999,9,2270.9,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,-999,9,-999,9,-999,9,2269.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,106.7 100.0,28.1921,-120.6443,13,-999,9,-999,9,-999,9,2276.8,2
32NM19840104,RV NEW HORIZON,1984,1,19,22:57:19,107.0 100.0,28.1401,-120.6086,13,18.14,2,33.816,2,1993.9,3,2272,3
32NM19840208,RV NEW HORIZON,1984,2,20,0:00:00,090.0 100.0,31.0846,-122.662,10,16.68,2,33.703,2,1994.5,2,2251.6,2
32NM19840208,RV NEW HORIZON,1984,2,20,0:00:00,090.0 100.0,31.0846,-122.662,10,-999,9,-999,9,-999,9,-999,9
32NM19840208,RV NEW HORIZON,1984,2,20,0:00:00,090.0 100.0,31.0846,-122.662,10,-999,9,33.707,2,1995,2,2256,2
32NM19840208,RV NEW HORIZON,1984,2,20,0:00:00,090.0 100.0,31.0846,-122.662,10,-999,9,-999,9,1995.2,2,2252.7,2
32NM19840208,RV NEW HORIZON,1984,2,20,21:58:49,090.0 120.0,30.4179,-123.9989,10,16.68,2,33.705,2,1994.8,2,2254.3,2
32NM19840208,RV NEW HORIZON,1984,2,21,0:00:00,090.0 070.0,32.0846,-120.6387,12,14.21,2,33.392,2,1996.2,2,-999,9
32NM19840208,RV NEW HORIZON,1984,2,21,0:00:00,090.0 070.0,32.0846,-120.6387,12,-999,9,33.391,2,1994.6,2,-999,9
32NM19840208,RV NEW HORIZON,1984,2,21,0:00:00,090.0 090.0,31.4179,-121.99,10,15.25,2,33.304,2,1985.9,2,2238.2,2
32NM19840208,RV NEW HORIZON,1984,2,21,0:00:00,090.0 090.0,31.4179,-121.99,10,-999,9,33.3,2,1985.3,2,2236,2
32NM19840208,RV NEW HORIZON,1984,2,21,21:38:55,090.0 090.0,31.4179,-121.99,10,15.25,2,33.302,2,1985.6,2,2237.1,2
32NM19840208,RV NEW HORIZON,1984,2,26,0:00:00,093.3 090.0,30.8464,-121.5896,12,15.55,2,33.435,2,1989.5,2,2241.7,2
32NM19840208,RV NEW HORIZON,1984,2,26,0:00:00,093.3 090.0,30.8464,-121.5896,12,-999,9,33.434,2,1989.1,2,2239.9,2
32NM19840208,RV NEW HORIZON,1984,2,26,21:44:34,090.0 120.0,30.4179,-123.9989,12,15.55,2,33.435,2,1989.3,2,2240.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,093.3 100.0,30.513,-122.2576,12,16.31,2,33.593,2,1993.7,4,2306.1,3
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,093.3 100.0,30.513,-122.2576,12,-999,9,-999,9,-999,9,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,093.3 100.0,30.513,-122.2576,12,-999,9,-999,9,-999,9,2246.9,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,093.3 100.0,30.513,-122.2576,12,-999,9,33.591,2,1993.3,2,2250.3,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,093.3 100.0,30.513,-122.2576,12,-999,9,-999,9,-999,9,2249,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 100.0,29.9241,-121.8439,10,16.7,2,33.653,2,1996.1,2,2252.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 100.0,29.9241,-121.8439,10,-999,9,33.653,2,1993.5,4,2289.7,3
32NM19840208,RV NEW HORIZON,1984,2,27,0:00:00,096.7 100.0,29.9241,-121.8439,10,-999,9,-999,9,-999,9,2249.5,2
